"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",-1.10256810776953,0.404490043700048,-0.580547793284965,"Semicossyphus pulcher",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",2.1213500926149,-0.36957211412164,1.11697872120011,"Strongylocentrotus purpuratus",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-2.91385292073385,-0.74691296136169,-1.5342642972969,"Macrocystis pyrifera",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.06912856610413,0.13633909275188,0.562940489041802,"Mesocentrotus franciscanus",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-3.10066576124731,0.00962330788899401,-1.6326289983554,"Panulirus interruptus",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.493043441041493,0.404490043700048,-0.2596078008,"Semicossyphus pulcher",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",3.05510889388896,-0.36957211412164,1.60864142005752,"Strongylocentrotus purpuratus",2,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.893219807031688,-0.587633955936726,0.470317238669,"Macrocystis pyrifera",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.71123834821013,0.0729417150985948,0.901037894926725,"Mesocentrotus franciscanus",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-4.69989736129647,0.11503307141454,-2.47469069941287,"Panulirus interruptus",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.342429768160251,0.375491272174417,-0.180303461400383,"Semicossyphus pulcher",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.0757304109955154,-0.449448259533159,-0.039875199253632,"Strongylocentrotus purpuratus",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.893219807031688,-0.587633955936726,0.470317238669,"Macrocystis pyrifera",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.55200038387148,0.0729417150985948,0.817192508730122,"Mesocentrotus franciscanus",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-3.80391252552848,0.11503307141454,-2.00291755854616,"Panulirus interruptus",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.240053301279313,0.375491272174417,-0.126398009652577,"Semicossyphus pulcher",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.667426267546473,-0.449448259533159,0.351427584449522,"Strongylocentrotus purpuratus",3,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.67671948348935,-0.428354950511761,0.882862282373512,"Macrocystis pyrifera",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.02996071700713,0.00954433744530897,0.542316993585379,"Mesocentrotus franciscanus",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-3.66840370028765,0.220442834940086,-1.93156654729357,"Panulirus interruptus",4,"Abalone Cove SMCA","PISCO","pooled"
