"MPA","Taxa","Mean","SE","SD","CI","Model","Source","Resp","BA","Primary","AnalysisType","LinearBefore","N","DW_stat","DW_pval","Lat","Lon","Location","MPA_Start","Quarter","Site","type","ChannelIsland","vi","Cooks_Distance","Cooks_Threshold","Is_Outlier","In_Final_Analysis","Exclusion_Reason"
"Campus Point SMCA","M. franciscanus",-1.04477485216778,0.3685622006935,1.32886991279826,0.803028051401385,"Linear","PISCO","Den","N","Y","CI","NA",14,1.9455,0.3322,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.135838095780036,4.63795138197717e-05,0.25,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","M. franciscanus",-0.890842125685582,0.362707726614915,1.40476098472032,0.7779307036486,"Linear","PISCO","Den","N","Y","CI","NA",16,1.7148,0.1862,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.13155689494616,0.0105581568788292,0.25,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","M. franciscanus",0.430712882939924,0.365251878038315,2.16085925140164,0.74228112366135,"Step","KFM","Den","Y","Y","pBACIPS","N",36,1.7875,0.2068,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.133408934410516,0.0126914131452715,0.25,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","M. franciscanus",0.533128917141583,0.115688703729682,0.476996745168267,0.245249096096591,"Mean","PISCO","Den","N","Y","CI","NA",17,1.5175,0.0913,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.0133838761706542,0.0261955437121137,0.25,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","M. franciscanus",-0.532298880127285,0.368118910811718,2.29890186119178,0.745217774672872,"Linear","KFM","Den","Y","Y","pBACIPS","N",40,0.9758,1e-04,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.135511532497205,0.000217107004712469,0.25,FALSE,TRUE,"INCLUDED"
"Matlahuayl SMR","M. franciscanus",-6.3229948141728,1.06615959875972,2.61154700133177,2.74065049846104,"Linear","PISCO","Den","N","Y","CI","NA",7,2.6679,0.7055,32.85167,-117.2783,"ML",2012,121,"Matlahuayl SMR","SMR",NA,1.13669629002749,0.664913107786611,0.25,TRUE,FALSE,"Outlier (Cook's D=0.6649 > 0.25)"
"Naples SMCA","M. franciscanus",1.1894701037097,0.395236662858306,1.85382427233062,0.8219396360241,"Step","LTER","Den","Y","Y","pBACIPS","N",23,1.5612,0.0957,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.156212019667371,8.55885652104039e-06,0.25,FALSE,TRUE,"INCLUDED"
"Naples SMCA","M. franciscanus",1.06940405086207,0.165320511301323,0.618572712295838,0.35715325088578,"Mean","PISCO","Den","N","Y","CI","NA",14,1.9509,0.3361,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.0273308714569307,6.10323136031768e-06,0.25,FALSE,TRUE,"INCLUDED"
"Point Vicente SMCA","M. franciscanus",0.200397776833367,0.123389785960522,0.477886586117198,0.264644770353154,"Mean","PISCO","Den","N","Y","CI","NA",15,0.8168,0.0013,33.7403,-118.4087,"ML",2012,121,"Point Vicente SMCA","SMCA",NA,0.0152250392793833,0.0526745667674914,0.25,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","M. franciscanus",-0.622103592405958,0.205535197727714,1.28356689840999,0.416084254758477,"Step","KFM","Den","Y","Y","pBACIPS","N",40,1.0258,2e-04,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.0422447175049705,0.000105902606318008,0.25,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","M. franciscanus",-0.456895059585838,0.157458799529481,0.68634699492024,0.330808662361383,"Linear","PISCO","Den","N","Y","CI","NA",20,1.8963,0.31,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.0247932735492654,0.000347970698179649,0.25,FALSE,TRUE,"INCLUDED"
"South Point SMR","M. franciscanus",0.575850767882471,0.184155331939181,0.736621327756725,0.392517798574177,"Mean","PISCO","Den","N","Y","CI","NA",16,1.8686,0.2845,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.03391318628163,9.19013895081463e-07,0.25,FALSE,TRUE,"INCLUDED"
"South Point SMR","M. franciscanus",0.609436561145352,0.0970411912272474,0.400111081465703,0.205718135525385,"Mean","KFM","Den","N","Y","CI","NA",17,1.3852,0.0512,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.0094169927948032,3.56769003134133e-05,0.25,FALSE,TRUE,"INCLUDED"
"Abalone Cove SMCA","P. interruptus",-0.888501606427589,0.456817043956181,1.6470772754899,0.995318836182385,"Mean","PISCO","Den","N","Y","CI","NA",13,1.5635,0.1177,33.7392,-118.3857,"ML",2012,121,"Abalone Cove SMCA","SMCA",NA,0.208681811648863,0.235962133435759,0.235294117647059,TRUE,FALSE,"Outlier (Cook's D=0.236 > 0.2353)"
"Anacapa Island SMR 2003","P. interruptus",2.08486886339505,0.237810545474043,0.951242181896174,0.506881179079972,"Mean","PISCO","Den","N","Y","CI","NA",16,2.6301,0.8496,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.0565538555386621,0.0296331962946488,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","P. interruptus",3.34581387047378,0.300428554094358,1.23869866148263,0.636880083862009,"Mean","KFM","Den","N","Y","CI","NA",17,1.151,0.014,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.0902573161152267,0.0162869879530601,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Campus Point SMCA","P. interruptus",-0.0552644846351283,0.231363567012316,0.801466906171397,0.509227777579976,"Mean","LTER","Den","N","Y","CI","NA",12,NA,NA,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.0535291001406626,0.24641213101365,0.235294117647059,TRUE,FALSE,"Outlier (Cook's D=0.2464 > 0.2353)"
"Campus Point SMCA","P. interruptus",2.3747333068447,0.774830306602015,2.79369040023705,1.68821021283946,"Linear","PISCO","Den","N","Y","CI","NA",14,1.674,0.1659,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.600362004028973,0.00297937709446774,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","P. interruptus",0.18142812295541,0.485752011457321,2.79043286049844,0.989444468790231,"Sigmoid","KFM","Den","Y","Y","pBACIPS","N",36,NA,NA,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.235955016634834,0.0285556630746369,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","P. interruptus",2.12636754426432,0.368366850823393,1.47346740329357,0.785155356786806,"Mean","PISCO","Den","N","Y","CI","NA",16,2.1891,0.5376,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.135694136785544,0.0937941298505124,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","P. interruptus",0.693628317322497,0.264098858179429,1.05639543271771,0.562913391249398,"Linear","PISCO","Den","N","Y","CI","NA",17,2.867,0.95,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.0697482068916779,0.0042016098637036,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Matlahuayl SMR","P. interruptus",-0.109144843978447,0.375820204104143,0.994326797733099,0.919598911322149,"Mean","PISCO","Den","N","Y","CI","NA",7,2.5471,0.6342,32.85167,-117.2783,"ML",2012,121,"Matlahuayl SMR","SMR",NA,0.14124082581288,0.0832452658051927,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Naples SMCA","P. interruptus",0.558605399030712,0.298595644474414,1.03436565429692,0.657204582356185,"Mean","LTER","Den","N","Y","CI","NA",12,NA,NA,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.0891593588990909,9.76090785458789e-05,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Naples SMCA","P. interruptus",0.610412903447725,0.298384907711769,1.1164540940416,0.644621402182049,"Mean","PISCO","Den","N","Y","CI","NA",14,2.1193,0.4623,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.0890335531501609,1.48469618338231e-05,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Point Vicente SMCA","P. interruptus",-0.28802944974392,0.38574044946365,1.49396633673128,0.827330981001066,"Mean","PISCO","Den","N","Y","CI","NA",15,2.561,0.7984,33.7403,-118.4087,"ML",2012,121,"Point Vicente SMCA","SMCA",NA,0.148795694352418,0.114307991967522,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Santa Barbara Island SMR","P. interruptus",1.99166001901206,0.340628044524764,2.12722145625551,0.689565425400679,"Linear","KFM","Den","Y","Y","pBACIPS","N",40,1.4677,0.0287,33.4658,-119.0306,"C",2003,85,"Santa Barbara Island SMR","SMR","Santa Barbara",0.116027464716765,0.0860504957289468,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","P. interruptus",2.64108928373663,0.259308876461179,1.15966454987258,0.54273971595484,"Mean","PISCO","Den","N","Y","CI","NA",20,2.2876,0.6567,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.0672410934115588,0.0005638393125202,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","P. interruptus",2.59713110576483,0.307201866648763,1.89371948850784,0.622450106832197,"Linear","KFM","Den","Y","Y","pBACIPS","N",39,2.2178,0.6972,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.0943729868724843,2.0260857953348e-05,0.235294117647059,FALSE,TRUE,"INCLUDED"
"South Point SMR","P. interruptus",2.57563465799428,0.420150267903034,1.62723499049303,0.901132701523525,"Linear","PISCO","Den","N","Y","CI","NA",16,1.2341,0.025,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.176526247618991,0.0154765978077025,0.235294117647059,FALSE,TRUE,"INCLUDED"
"South Point SMR","P. interruptus",0.892415042417804,0.261137903652201,1.07669915961039,0.553587625779831,"Mean","KFM","Den","N","Y","CI","NA",17,2.191,0.548,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.0681930047238665,0.0786678147166893,0.235294117647059,FALSE,TRUE,"INCLUDED"
"Abalone Cove SMCA","S. pulcher",1.51631336899181,0.59822893082688,2.15694508456232,1.30342886956372,"Linear","PISCO","Den","N","Y","CI","NA",14,1.7713,0.2187,33.7392,-118.3857,"ML",2012,121,"Abalone Cove SMCA","SMCA",NA,0.357877853678272,0.0772678319205271,0.2,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","S. pulcher",1.23785017343911,0.427348637501092,1.70939455000437,0.910872059197291,"Linear","KFM","Den","N","Y","CI","NA",17,1.8847,0.2975,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.182626857974039,0.03620858563126,0.2,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","S. pulcher",-0.663042867071486,0.269425126553876,1.14307400404973,0.568437329063079,"Linear","PISCO","Den","N","Y","CI","NA",19,1.3099,0.0309,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.0725898988185718,0.235642741476025,0.2,TRUE,FALSE,"Outlier (Cook's D=0.2356 > 0.2)"
"Blue Cavern Onshore SMCA","S. pulcher",-1.87986662069985,0.75585387209191,1.99980137306042,1.84950779735551,"Linear","PISCO","Den","N","Y","CI","NA",8,2.6906,0.7328,33.4466,-118.4764,"C",2012,121,"Blue Cavern Onshore SMCA","SMCA","Catalina",0.571315075956334,0.133706446218219,0.2,FALSE,TRUE,"INCLUDED"
"Campus Point SMCA","S. pulcher",-0.0770428174089096,0.241692074542799,0.936069379614581,0.518377944054632,"Mean","PISCO","Den","N","Y","CI","NA",15,1.1396,0.0157,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.0584150588968018,0.000373526589174289,0.2,FALSE,TRUE,"INCLUDED"
"Campus Point SMCA","S. pulcher",-0.535937351127661,0.693692771086584,3.17889963254795,1.44701776411918,"Linear","LTER","Den","Y","Y","pBACIPS","N",22,2.0258,0.429,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.481209660657784,0.000477453064957874,0.2,FALSE,TRUE,"INCLUDED"
"Farnsworth Onshore SMCA","S. pulcher",0.0460252722747849,0.108657223517371,0.266154754485099,0.279312285084428,"Mean","PISCO","Den","N","Y","CI","NA",6,3.2053,0.9143,33.3339,-118.473,"C",2012,121,"Farnsworth Onshore SMCA","SMCA","Catalina",0.0118063922225039,0.0281827527936102,0.2,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","S. pulcher",0.310563418212822,0.100198234423906,0.436753978175003,0.210508679094422,"Linear","PISCO","Den","N","Y","CI","NA",20,2.3138,0.6788,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.0100396861816679,0.00192430912580356,0.2,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","S. pulcher",1.50084612705202,0.267518388607761,1.10300657302483,0.567113649648723,"Mean","PISCO","Den","N","Y","CI","NA",17,2.3574,0.6836,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.0715660882432929,0.445526519946069,0.2,TRUE,FALSE,"Outlier (Cook's D=0.4455 > 0.2)"
"Harris Point SMR","S. pulcher",-1.1723159112678,0.511294639640116,3.0677678378407,1.0379833016053,"Linear","KFM","Den","Y","Y","pBACIPS","N",37,1.4545,0.0296,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.261422208524716,0.0538696999708197,0.2,FALSE,TRUE,"INCLUDED"
"Long Point SMR","S. pulcher",0.614821347432662,0.223746717073615,0.632851283643924,0.529076913406539,"Mean","PISCO","Den","N","Y","CI","NA",8,2.3413,0.5201,33.24,-118.21,"C",2012,121,"Long Point SMR","SMR","Catalina",0.0500625934012202,0.00882597475838147,0.2,FALSE,TRUE,"INCLUDED"
"Matlahuayl SMR","S. pulcher",0.107930457806416,0.340922150429865,0.901995226470774,0.834206450204663,"Mean","PISCO","Den","N","Y","CI","NA",7,1.2734,0.0428,32.85167,-117.2783,"ML",2012,121,"Matlahuayl SMR","SMR",NA,0.116227912653723,0.0122850243788625,0.2,FALSE,TRUE,"INCLUDED"
"Naples SMCA","S. pulcher",1.61912501110434,0.155023951924096,0.600405184065283,0.332493308395211,"Mean","PISCO","Den","N","Y","CI","NA",15,0.8488,0.0018,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.0240324256701645,0.526468261172646,0.2,TRUE,FALSE,"Outlier (Cook's D=0.5265 > 0.2)"
"Point Vicente SMCA","S. pulcher",0.333469585157119,0.109777318351441,0.465745717360668,0.231609896350636,"Mean","PISCO","Den","N","Y","CI","NA",18,1.6334,0.1392,33.7403,-118.4087,"ML",2012,121,"Point Vicente SMCA","SMCA",NA,0.0120510596244335,0.00107588915298722,0.2,FALSE,TRUE,"INCLUDED"
"Santa Barbara Island SMR","S. pulcher",-0.13006200156231,0.108826969182909,0.344141093470944,0.246183707842736,"Mean","PISCO","Den","N","Y","CI","NA",10,1.3586,0.0601,33.4658,-119.0306,"C",2003,85,"Santa Barbara Island SMR","SMR","Santa Barbara",0.0118433092215377,0.0622489904051728,0.2,FALSE,TRUE,"INCLUDED"
"Scorpion SMR","S. pulcher",0.0847556263996009,0.0678377738436597,0.303379747513361,0.141986092452291,"Mean","PISCO","Den","N","Y","CI","NA",20,1.3189,0.0305,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.00460196356006353,0.288290462542486,0.2,TRUE,FALSE,"Outlier (Cook's D=0.2883 > 0.2)"
"Scorpion SMR","S. pulcher",-1.5431031404421,0.329899948958551,2.00670304827237,0.669068107406594,"Step","KFM","Den","Y","Y","pBACIPS","N",38,1.4077,0.02,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.108833976322854,0.00084329545287667,0.2,FALSE,TRUE,"INCLUDED"
"South Point SMR","S. pulcher",0.234848861716956,0.110856361511224,0.457072487782435,0.235004988220032,"Mean","KFM","Den","N","Y","CI","NA",17,2.6155,0.8533,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.0122891328875073,0.0029027921256275,0.2,FALSE,TRUE,"INCLUDED"
"South Point SMR","S. pulcher",0.536044173316374,0.0892377864796077,0.399083513460029,0.186776833663971,"Mean","PISCO","Den","N","Y","CI","NA",20,1.9972,0.3958,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.00796338253578005,0.00661321423532078,0.2,FALSE,TRUE,"INCLUDED"
"Swamis SMCA","S. pulcher",2.13900679420512,0.651155072161477,1.72279438587759,1.59331906300508,"Mean","PISCO","Den","N","Y","CI","NA",7,1.8515,0.2284,33.0212,-117.2936,"ML",2012,121,"Swamis SMCA","SMCA",NA,0.424002928001619,0.143051438437314,0.2,FALSE,TRUE,"INCLUDED"
"Abalone Cove SMCA","S. purpuratus",-2.81347723991224,1.18709158763241,4.11220588603387,2.61277096804856,"Linear","PISCO","Den","N","Y","CI","NA",13,2.1637,0.4858,33.7392,-118.3857,"ML",2012,121,"Abalone Cove SMCA","SMCA",NA,1.40918643742763,0.0531568865850464,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","S. purpuratus",-2.61730776896941,0.809736915686561,3.23894766274624,1.72591338096309,"Linear","KFM","Den","N","Y","CI","NA",17,0.8888,0.0018,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.655673872625584,0.000556869751773538,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Anacapa Island SMR 2003","S. purpuratus",-2.21787468139861,0.40299656405552,1.56079898116584,0.864341665862894,"Linear","PISCO","Den","N","Y","CI","NA",16,0.9921,0.0051,34.008,-119.3983,"C",2003,85,"Anacapa Island SMR 2003","SMR","Anacapa",0.162406230640555,2.63225554835952e-05,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Campus Point SMCA","S. purpuratus",-2.58226415373602,0.503522107448341,1.81547477673468,1.09708042772953,"Linear","PISCO","Den","N","Y","CI","NA",14,2.1074,0.4531,34.4049,-119.8651,"ML",2012,121,"Campus Point SMCA","SMCA",NA,0.253534512689219,0.107786101385824,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Gull Island SMR","S. purpuratus",-1.69961169291499,0.460528928714855,1.78362087135937,0.987736315708667,"Linear","PISCO","Den","N","Y","CI","NA",16,1.0098,0.0059,33.9562,-119.8234,"C",2003,85,"Gull Island SMR","SMR","Santa Cruz",0.212086894183252,0.0120947464016547,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Harris Point SMR","S. purpuratus",-0.38800179436619,0.219261590777002,0.904038698414534,0.464813808203849,"Mean","PISCO","Den","N","Y","CI","NA",17,0.9187,0.0024,34.053,-120.3424,"C",2003,85,"Harris Point SMR","SMR","San Miguel",0.0480756451900615,0.0474397392843439,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Matlahuayl SMR","S. purpuratus",-2.37768921993019,0.429240060269791,1.05141912482249,1.10339670205696,"Linear","PISCO","Den","N","Y","CI","NA",7,3.028,0.8811,32.85167,-117.2783,"ML",2012,121,"Matlahuayl SMR","SMR",NA,0.184247029340414,0.0826190428114631,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Naples SMCA","S. purpuratus",-0.575966561952304,0.150250287585592,0.562185098409538,0.324596011924433,"Mean","PISCO","Den","N","Y","CI","NA",14,1.6058,0.1339,34.4321,-119.9514,"ML",2012,121,"Naples SMCA","SMCA",NA,0.022575148919553,0.0302260015124872,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Point Vicente SMCA","S. purpuratus",-0.347221422213012,0.373142302899854,1.44517392489662,0.800310643958599,"Mean","PISCO","Den","N","Y","CI","NA",15,1.3117,0.04,33.7403,-118.4087,"ML",2012,121,"Point Vicente SMCA","SMCA",NA,0.139235178213406,0.0470065221012318,0.307692307692308,FALSE,TRUE,"INCLUDED"
"Santa Barbara Island SMR","S. purpuratus",1.99244511245005,0.303334766379451,1.91845751054826,0.613552477687187,"Step","KFM","Den","Y","Y","pBACIPS","N",41,1.0293,2e-04,33.4658,-119.0306,"C",2003,85,"Santa Barbara Island SMR","SMR","Santa Barbara",0.0920119804944759,0.426543444684726,0.307692307692308,TRUE,FALSE,"Outlier (Cook's D=0.4265 > 0.3077)"
"Scorpion SMR","S. purpuratus",-1.46479826541099,0.330855293371953,1.44216478874385,0.695101177975552,"Linear","PISCO","Den","N","Y","CI","NA",20,0.7479,2e-04,34.05428,-119.5669,"C",2003,85,"Scorpion SMR","SMR","Santa Cruz",0.109465225152241,0.00305576011581432,0.307692307692308,FALSE,TRUE,"INCLUDED"
"South Point SMR","S. purpuratus",-1.30686405152692,0.259716023998378,1.03886409599351,0.553571601325933,"Linear","KFM","Den","N","Y","CI","NA",17,1.268,0.0281,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.0674524131215258,0.000227227873821612,0.307692307692308,FALSE,TRUE,"INCLUDED"
"South Point SMR","S. purpuratus",-1.41045465476554,0.393452651505517,1.52383556680202,0.843872009274997,"Linear","PISCO","Den","N","Y","CI","NA",16,2.3717,0.6833,33.9022,-120.1391,"C",2003,85,"South Point SMR","SMR","Santa Rosa",0.154804988976722,5.96983008976326e-05,0.307692307692308,FALSE,TRUE,"INCLUDED"
